Filename-->,
Mode/Unit-->,
Int.time[ms]-->,"14,7886381149292"
NrOfAverages-->,34
Smoothing-->,0
"Wavelength [nm]",
"191,34316454898976","364,6807018903202"
"191,64872285938114","336,03288885941816"
"191,95427609345444","358,7394692162772"
"192,2598242493348","257,68012233759526"
"192,5653673251473","362,0336001588972"
"192,87090531901708","322,5625629069128"
"193,17643822906928","381,6209978475683"
"193,481966053429","319,768240387514"
"193,78748879022135","361,739237758403"
"194,09300643757146","282,85644848887506"
"194,39851899360445","385,50354477951174"
"194,70402645644543","315,3266801673215"
"195,00952882421953","395,73880082469185"
"195,31502609505188","319,9148199766609"
"195,6205182670676","374,856415251835"
"195,92600533839178","313,2092760495795"
"196,23148730714956","346,91549199481636"
"196,53696417146605","289,6506283836722"
"196,8424359294664","385,97389007372425"
"197,1479025792757","288,9440220373253"
"197,45336411901906","374,2095256403042"
"197,75882054682165","322,17982379655604"
